Wann hattest du das letzte Mal Sex?;0
Warst du schon mal in jemanden aus der Runde verliebt?;0
Was ist das aller Peinlichste, das dir je passiert ist?;0
Wäschst du dir immer die Hände, wenn du auf dem Klo warst?;0
Mit wem in diesem Raum wolltest du überhaupt nicht auf einer einsamen Insel stranden? Warum nicht?;0
Wer ist Deiner Meinung nach der heißeste Typ/ Mädchen auf deiner Schule?;0
Hast du schon mal einen Popel gegessen?;0
Wen in diesem Raum magst du am meisten?;0
Was findest Du an Dir besonders schön?;0
Was ist das Dümmste, was du je getan hast?;0
In welchen Star warst du früher unsterblich verknallt?;0
Hast du schon mal einen Liebesbrief an jemanden geschrieben? Wenn ja, an wen?;0
Was würdest du gerne mal ausprobieren, traust dich aber nicht?;0
In welche Person bist du verliebt?;0
Was ist das peinlichste, was dir je passiert ist?;0
Was ist deine geheimste, dunkle Fantasie?;0
Wo war dein erster Kuss?;0
Wenn du zwei Wünsche frei hättest, die nach 24 Stunden wieder verschwinden würden, was wäre das?;0
Von wem hier in der Runde würdest du dich am ehesten küssen lassen?;0
Wohin würdest du dich jetzt am liebsten beamen?;0
Wenn Du ein Tier sein könntes, welches wäre das?;0
Welche drei Dinge würdest du auf eine einsame Insel mitnehmen?;0
Was war die gemeinste Bestrafung, die du je erhalten hast und von wem für was?;0
Nach einer gewaltigen Explosion leben außer dir nur zwei Menschen des anderen Geschlechts. Wer wären die zwei und warum?;0
Was würdest du tun, wenn du für einen Tag ein Mann/eine Frau wärst?;0
Hast du schon einmal in ein Schwimmbad ins Wasser gepinkelt?;0
Was hast du zuletzt geträumt?;0
In welcher vergangenen Zeit würdest du leben wollen und warum?;0
Welchen Teil deines Körper würdest du gerne größer machen und warum?;0
Was war der größte Fehler deines Lebens?;0
Was würdest du tun, wenn du unsichtbar wärst?;0
Wer aus der Runde hat den schönsten Po?;0
Hast Du schon mal während des ersten Dates geknutscht?;0
Welches Buch ist dein Lieblingsbuch?;0
Was ist das Peinlichste, was dir bei einem Date passiert ist?;0
Was war der größte Fehler deines Lebens?;0
Hast du schon einmal eine Person des gleichen Geschlechts geküsst?;0
Wer aus der Runde, glaubst du, hat den größten Brustumfang?;0
Was ist deine schlimmste Macke?;0
Wer hat in diesem Raum den miesesten Geschmack?;0
Wen in diesem Raum magst Du am wenigsten?;0
Auf was achtest du als erstes beim anderen Geschlecht?;0
Hattest du schonmal Kontakt mit Drogen?;0
Wofür könnten die Spieler links und rechts von dir Werbung machen?;0
Wer war der Held in deiner Kindheit?;0
Welche Eigenschaft der Person zu deiner rechten magst ganz besonders?;0
Wann hast du dich zuletzt geduscht?;0
Hast Du schon mal jemanden des gleichen Geschlechts geküsst?;0
Was ist das Dümmste, das du je getan hast?;0
Wenn du morgen jemanden heiraten müsstest, wer wäre es?;0
Wann hast du zuletzt jemanden geküsst und wer war es?;0
Warst du jemals in einen Lehrer verliebt? In wen?;0
Welche Person würdest du jetzt gerne küssen?;0
Was ist das peinlichste was du besitzt?;0
Wer ist die schönste Person, die du kennst?;0
Wen aus der Runde hast du dir schonmal nackt vorgestellt?;0
Wann hattest du das letzte Mal einen Hang Over?;0
Was findest du an dem Spieler rechts von dir total blöd?;0
Wenn Du in die Runde schaust, wer wird später am meisten Geld verdienen?;0
Was war das gemeinste Gerücht, das jemals über dich in Umlauf gebracht wurde?;0
Was würdest du gerne mal ausprobieren, traust dich aber nicht?;0
Auf eine Skala von 1 - 10: Für wie gutaussehend hälst du dich?;0
Wenn du auf einer einsamen Insel strandest, mit einer CD, einem Buch und einem anderen Gegenstand, was wäre das?;0
Wenn du Gedanken lesen könntest, was wolltest du wissen?;0
Hast du in der Vergangenheit schonmal etwas gestohlen?;0
Was würdest du lieber können - Fliegen oder unsichtbar werden?;0
Was war das peinlichste Erlebnis mit einem Ex von dir?;0
Was ist das Eigenartigste, das du je gegessen oder getrunken hast?;0
Welches wirklich kindische Verhalten hast du immer noch?;0
Wie viele Jungen / Mädchen hast du schon geküsst?;0
Was ist der größte Abturner, den ein Mensch haben kann?;0
Wann hast du das letzte Mal gelogen?;0
Würdest du eine Schönheits-Operation an dir machen lassen?;0
Was ist der peinlichste Spitzname, der dir je gegeben wurde?;0
Wann hattest du das letzte Mal Sex?;0
Wann wurdest Du das letzte Mal rot und warum?;0
Mit welchem Mitspieler würdest du 1 Woche lange tauschen und warum?;0
Du ziehst auf eine einsame Insel, wen hier aus der Runde nimmst du mit?;0
Wovor hast du am meisten Angst?;0
Welchen Namen würdest du dir tätowieren lassen, wenn du müsstest?;0
Welches Tier passt am besten zu dir und warum?;0
Wo rasierst du dich überall?;0
Welche peinliche Fernsehsendung schaust du am liebsten?;0
Mit welcher berühmten Person würdest du gerne einmal eine Nacht verbringen?;0
Hast du eine Spitznamen?;0
Guckst du in die Kloschüssel bevor du spülst?;0
Welcher Film ist dein Lieblingsfilm?;0
Was war dein peinlichstes Erlebnis mit deinem Schwarm?;0
Gib einem Mitspieler deiner Wahl einen Kuss auf den Mund;1
Gib deinem Mitspieler zu deiner rechten einen Kuss;1
Halte 5 Minuten Händchen mit einer Person deiner Wahl;1
Benimm dich zwei Minuten wie ein Huhn;1
Tausche die Klamotten mit dem Mitspieler rechts von dir;1
Erzähle der Person gegenüber, was seine Vorzüge und Macken sind;1
Imitiere ein Tier deiner Wahl;1
Mach dich im spiegel selbst an;1
Spiele Dieter Bohlen und gib für 2 Runden zu allem Kommentare ab;1
Lass dir von einem Mitspieler eine Frisur stylen;1
Füttere die Person rechts neben dir mit etwas Leckerem;1
Veranstalte einen Catwalk wie bei Germany’s next Top Model;1
Zeig deinen Mitspielern wie ein perfekter Zungenkuss aussieht - aber alleine;1
Spreche 2 Runden lang nur englisch;1
Massiere einem Mitspieer deiner Wahl die Füße;1
Täusche einen totalen Lachkrampf vor;1
Tu so, als würdest du ein kind gebären;1
Trage den BH von einer anderen Person;1
Rappe über einen Mitspieler;1
Sprich die nächsten 3 Minuten in Babysprache;1
Lecke einen Gegenstand in Greifnähe ab;1
Laufe einmal um die Gruppe herum und belle wie ein Hund;1
"Ziehe ein Kleidungsstück aus; Alle anderen müssen es auch ausziehen";1
Versuche, für 10 Sekunden zu breakdancen;1
Mache die lustigste Grimasse, die dir einfällt;1
Spiele eine Sterbeszene;1
Zeig allen, wie der Moonwalk von Michael Jackson geht;1
Mach einen Bauchtanz für 1 Minute;1
Tanze wie eine Ballerina;1
Lass jemand anders deine gespeicherten WhatsApp Nachrichten lesen;1
Zeige der Gruppe ein wirklich peinliches Foto von dir;1
Kratze dich mit deinem großen Zeh unter der Achsel;1
Mach der Person links von dir einen romantischen Heiratsantrag;1
Rede 3 Runden mit einem Akzent;1
Gib allen anwesenden Frauen einen Kuss auf die Wange;1
Spiele einen Orgasmus vor;1
Sing während du Liegestütze machst laut alle meine Entchen;1
Erkläre der Person rechts von dir, warum du eine Bestrafung verdienst;1
Tausche das T-Shirt mit der Person rechts von dir;1
Strecke deinen nackten Hintern aus dem Fenster;1
Mache der Person links neben dir für 2 Minuten lang alles nach;1
Tausch die Kleider mit dem Mitspieler direkt gegenüber;1
Nenne eine Sache über dich, wegen der du schon Komplimente bekommen hast;1
Gib einem Mitspieler eine 2 Minuten Kopfmassage;1
Tu so als hättest du eine gespaltene Persönlichkeit und streite mit dir selbst;1
Trage deine Kleidung auf links;1
Mach ein ugly Selfie von dir und poste es bei Facebook;1
Simuliere mit einer Flasche einen Zungenkuss;1
Lass dich von einem anderen Mitspieler schminken;1
Trage die Person links von dir einmal durch den Raum;1
Spiele eine Szene aus deinem Lieblingsfilm nach;1
Mach 10 Liegestütze;1
Versuche deine Beine hinter den Kopf zu bekommen;1
Iss einen Löffel Mehl;1
Simuliere einen Affen für 1 Runde;1
Versuch einen Zeh in den Mund zu nehmen;1
Spiel eine Domina;1
Zeige den anderen ein wirklich peinliches Foto von dir;1
Iss nur noch etwas ohne deine Hände zu benutzen;1
Iss etwas und tue so, als wäre es das leckerste, was du je gegessen hast;1
Spiele 1 Runde lang den Gollum aus Herr der Ringe;1
Spiele einen Wutanfall;1
Der Spieler links von dir darf dir ein Gebräu aus allen möglichen Zutaten mischen und du musst es trinken;1
Pose 1 Minute wie ein Bodybuilder;1
Trage einen Turban aus Toilettenpapier;1
Schnapp dir Schminkzeug und schminke die Person rechts neben dir;1
Lass dich von anderen an einen Stuhl fesseln;1
Ruf einen Kontakt aus Deinem Handy an und stöhne ins Telefon;1
Imitiere eine Person deiner Wahl aus dieser Gruppe;1
Mach einem Gegenstand eine Liebeserklärung;1
Iss Katzen- oder Hundefutter;1
Taste die Person rechts von dir ab;1
Sag 3x hintereinander ganz schnell einen Zungenbrecher auf;1
Ruf jemanden an und wünsche ihm ein frohes neues Jahr;1
Bettle die Person dir gegenüber an, dir den Hintern zu versohlen;1
Stelle innerhalb 1 Minute fest, wessen Haare am besten duften;1
Hüpfe wie ein Frosch quakend durch den Raum;1
Tanz zu dem Lied, was grade gespielt wird;1
Schreibe mit einem Stift deinen Namen, benutze dabei jedoch deinen Fuß;1
Versuche mit der Zungenspitze deine Nase zu berühren;1
Iss einen Keks und pfeife nebenbei ein Lied;1
